IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1002378,1918,Ty Cobb,DET,31,111,421,473,161,125,19,14,3,83,64,41,,21.0,2,,9,,34,,0.382,,,,,,,,,,,0.087,0.044000000000000004,1.95,0.44,0.515,0.955,0.133,0.398,,,,,,,,,0.459,44.1,90,40.5,-1.0,12.5,-2.8,54.7,6.5,,7.4,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,3.4,,31 - 31,43.9,2.0,,,,,,,,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,100,68.0,133,155,186,143.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1012021,1918,George Sisler,SLB,25,114,452,506,154,122,21,9,2,69,41,40,,17.0,5,,9,,45,,0.341,,,,,,,,,,,0.079,0.034,2.35,0.4,0.44,0.841,0.1,0.351,,,,,,,,,0.408,30.3,79,26.3,12.0,13.4,-3.5,56.0,6.4,,7.2,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,5.7,,25 - 25,31.9,2.2,,,,,,,,0.11699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,91,52.0,121,133,139,126.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1012309,1918,Tris Speaker,CLE,30,127,471,549,150,106,33,11,0,73,61,64,,9.0,3,,11,,27,,0.318,,,,,,,,,,,0.11699999999999999,0.016,7.11,0.403,0.435,0.839,0.117,0.325,,,,,,,,,0.407,32.7,86,26.4,6.0,14.5,-3.1,48.1,5.6,,6.8,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.9,,30 - 30,28.4,2.4,,,,,,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,135,25.0,122,131,163,116.0,,,,,,,,,,,,,,,,,,0,,,,,,5.6
1005964,1918,Charlie Hollocher,CHC,22,131,509,586,161,130,23,6,2,72,38,47,,30.0,4,,26,,26,,0.316,,,,,,,,,,,0.08,0.051,1.57,0.379,0.397,0.775,0.081,0.333,,,,,,,,,0.379,23.9,81,20.0,-1.0,15.5,8.1,45.8,5.5,,5.7,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,1.6,,22 - 22,21.6,1.7,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,116,77.0,119,118,106,120.0,,,,,,,,,,,,,,,,,,0,,,,,,5.5
1001709,1918,George Burns,PHA,25,130,505,544,178,141,22,9,6,61,70,23,,25.0,8,,8,,8,,0.352,,,,,,,,,,,0.042,0.046,0.92,0.39,0.467,0.857,0.115,0.363,,,,,,,,,0.414,34.9,88,30.0,5.0,14.4,-4.0,45.8,5.4,,5.1,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.8,,25 - 25,28.2,2.3,,,,,,,,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,49,71.0,118,141,161,130.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1011327,1918,Babe Ruth,BOS,23,95,317,380,95,47,26,11,11,50,66,58,,58.0,2,,3,,6,,0.3,,,,,,,,,,,0.153,0.153,1.0,0.411,0.555,0.966,0.256,0.339,,,,,,,,,0.461,36.0,73,35.1,1.0,10.0,-3.0,43.8,5.2,,5.4,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-0.9,,23 - 23,34.2,1.6,,,,,,,,0.33399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,177,234.0,124,167,357,121.0,,,,,,,,,,,,,,,,,,0,,,,,,5.2
1006002,1918,Harry Hooper,BOS,30,126,474,569,137,97,26,13,1,81,44,75,,25.0,4,,16,,24,,0.289,,,,,,,,,,,0.132,0.044000000000000004,3.0,0.391,0.405,0.796,0.116,0.304,,,,,,,,,0.389,27.2,82,25.9,6.0,15.0,-6.2,44.4,5.2,,6.9,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,1.3,,30 - 30,27.2,2.4,,,,,,,,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,153,67.0,118,122,162,109.0,,,,,,,,,,,,,,,,,,0,,,,,,5.2
1005078,1918,Heinie Groh,CIN,28,126,493,567,158,126,28,3,1,86,37,54,,24.0,7,,13,,11,,0.32,,,,,,,,,,,0.095,0.042,2.25,0.395,0.396,0.791,0.075,0.335,,,,,,,,,0.388,26.5,82,26.2,-2.0,15.0,3.9,43.2,5.2,,4.8,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,-1.5,,28 - 28,24.7,1.6,,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,137,63.0,124,117,98,120.0,,,,,,,,,,,,,,,,,,0,,,,,,5.2
1006030,1918,Rogers Hornsby,STL,22,115,416,466,117,82,19,11,5,51,60,40,,43.0,3,,7,,8,,0.281,,,,,,,,,,,0.086,0.092,0.93,0.349,0.416,0.764,0.135,0.304,,,,,,,,,0.372,16.8,62,15.4,10.0,12.3,6.6,44.8,5.1,,5.7,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,-0.9,,22 - 22,14.5,1.3,,,,,,,,0.18899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,124,138.0,109,123,177,109.0,,,,,,,,,,,,,,,,,,0,,,,,,5.1
1011247,1918,Edd Roush,CIN,25,113,435,492,145,112,18,10,5,61,62,22,,10.0,2,,33,,24,,0.333,,,,,,,,,,,0.045,0.02,2.2,0.368,0.455,0.823,0.122,0.333,,,,,,,,,0.397,26.1,74,25.8,0.0,13.0,-2.8,39.5,4.7,,6.9,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8,2.1,,25 - 25,27.9,1.4,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,64,30.0,115,135,160,120.0,,,,,,,,,,,,,,,,,,0,,,,,,4.7
