IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1011327,1927,Babe Ruth,NYY,32,151,540,691,192,95,29,8,60,158,164,137,,89.0,0.0,,14,,7,6.0,0.356,,,,,,,,,,,0.198,0.129,1.54,0.486,0.772,1.258,0.417,0.338,,,,,,,,,0.543,110.7,199,104.9,12.0,22.2,-6.5,134.0,12.9,,5.2,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,-2.7,,32 - 32,102.2,4.1,,,,,,,,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,226,214.0,135,188,352,110.0,,,,,,,,,,,,,,,,,,0,,,,,,12.9
1004598,1927,Lou Gehrig,NYY,24,155,584,717,218,101,52,18,47,149,175,109,,84.0,3.0,,21,,10,8.0,0.373,,,,,,,,,,,0.152,0.11699999999999999,1.3,0.474,0.765,1.24,0.392,0.377,,,,,,,,,0.538,111.8,203,105.7,5.0,23.1,-6.7,128.6,12.4,,5.8,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,-2.8,,24 - 24,102.9,4.3,,,,,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,174,194.0,131,186,332,123.0,,,,,,,,,,,,,,,,,,0,,,,,,12.4
1006030,1927,Rogers Hornsby,NYG,31,155,568,684,205,138,32,9,26,133,125,86,,38.0,4.0,,26,,9,,0.361,,,,,,,,,,,0.126,0.055999999999999994,2.26,0.448,0.586,1.035,0.225,0.355,,,,,,,,,0.468,68.2,155,66.6,12.0,22.0,4.8,107.3,10.4,,5.5,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,0.4,,31 - 31,67.0,1.5,,,,,,,,0.21899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,167,90.0,129,147,205,117.0,,,,,,,,,,,,,,,,,,0,,,,,,10.4
1004364,1927,Frankie Frisch,STL,28,153,617,693,208,156,31,11,10,112,78,43,,10.0,7.0,,26,,48,,0.337,,,,,,,,,,,0.062,0.013999999999999999,4.3,0.387,0.472,0.858,0.135,0.332,,,,,,,,,0.395,28.7,117,25.1,37.0,22.3,4.8,99.1,9.7,,7.2,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,8.3,,28 - 28,33.5,1.5,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,83,23.0,111,118,122,110.0,,,,,,,,,,,,,,,,,,0,,,,,,9.7
1013597,1927,Paul Waner,PIT,24,155,623,709,237,168,42,18,9,114,131,60,,14.0,3.0,,23,,5,,0.38,,,,,,,,,,,0.085,0.02,4.29,0.437,0.549,0.986,0.169,0.38,,,,,,,,,0.45,60.2,151,54.1,5.0,22.8,-6.7,76.3,7.4,,5.4,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,-0.4,,24 - 24,53.7,1.6,,,,,,,,0.11699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,113,32.0,126,137,153,126.0,,,,,,,,,,,,,,,,,,0,,,,,,7.4
1016700,1927,Willie Wells,SLS,22,96,361,418,131,76,21,5,29,90,108,56,,,1.0,,8,,9,,0.363,,,,,,,,,,,0.134,,,0.45,0.69,1.14,0.327,,,,,,,,,,0.503,53.4,107,53.2,0.0,13.4,5.9,74.3,7.1,,5.5,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,1.0,,22 - 22,54.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,167,,132,173,282,,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1005590,1927,Harry Heilmann,DET,32,141,505,596,201,128,50,9,14,106,120,72,,16.0,2.0,,17,,11,5.0,0.398,,,,,,,,,,,0.121,0.027000000000000003,4.5,0.475,0.616,1.091,0.218,0.394,,,,,,,,,0.492,71.1,147,62.3,-6.0,19.2,-5.8,71.9,6.9,,5.9,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.8,-1.2,,32 - 32,61.0,3.6,,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,138,45.0,132,150,184,128.0,,,,,,,,,,,,,,,,,,0,,,,,,6.9
1002478,1927,Earle Combs,NYY,28,152,648,724,231,166,36,23,6,137,64,62,,31.0,2.0,,12,,15,6.0,0.356,,,,,,,,,,,0.086,0.043,2.0,0.414,0.511,0.925,0.154,0.368,,,,,,,,,0.423,46.2,138,40.0,8.0,23.3,-3.8,70.8,6.8,,7.0,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,-1.0,,28 - 28,39.0,4.3,,,,,,,,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,98,71.0,115,124,130,120.0,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1014083,1927,Hack Wilson,CHC,27,146,551,646,175,103,30,12,30,119,129,71,,70.0,6.0,,18,,13,,0.318,,,,,,,,,,,0.11,0.10800000000000001,1.01,0.401,0.579,0.98,0.261,0.322,,,,,,,,,0.44,49.7,132,48.4,0.0,20.8,-3.6,68.5,6.6,,6.5,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,1.5,,27 - 27,49.9,1.4,,,,,,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,146,175.0,115,145,238,106.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1007422,1927,Tony Lazzeri,NYY,23,153,570,660,176,121,29,8,18,92,102,69,,82.0,0.0,,21,,22,14.0,0.309,,,,,,,,,,,0.105,0.124,0.84,0.383,0.482,0.866,0.174,0.336,,,,,,,,,0.397,28.4,112,22.8,14.0,21.2,5.8,64.8,6.3,,5.9,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,-2.9,,23 - 23,19.8,3.9,,,,,,,,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,119,206.0,106,117,147,110.0,,,,,,,,,,,,,,,,,,0,,,,,,6.3
