IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1000573,1875,Ross Barnes,BSN,25,78,393,400,143,118,20,4,1,115,58,7,,3,,,,,29.0,6.0,0.364,,,,,,,,,,,0.018000000000000002,0.008,2.33,0.375,0.443,0.818,0.079,0.365,,,,,,,,,0.373,35.4,98,34.5,11.0,14.6,1.5,65.8,5.6,,7.5,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,3.5,,25 - 25,38.1,0.5,,,,,,,,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,187,30,143,142,138,140,,,,,,,,,,,,,,,,,,0,,,,,,5.6
1008696,1875,Cal McVey,BSN,25,82,389,390,138,90,36,9,3,89,87,1,,5,,,,,7.0,0.0,0.355,,,,,,,,,,,0.003,0.013000000000000001,0.2,0.356,0.517,0.873,0.162,0.354,,,,,,,,,0.391,39.7,101,38.9,3.0,14.3,-0.6,58.2,4.8,,7.9,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.1,,25 - 25,41.0,0.5,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,27,52,136,166,283,136,,,,,,,,,,,,,,,,,,0,,,,,,4.8
1014277,1875,George Wright,BSN,28,79,408,410,136,107,20,7,2,106,61,2,,6,,,,,13.0,6.0,0.333,,,,,,,,,,,0.005,0.015,0.33,0.337,0.431,0.768,0.098,0.335,,,,,,,,,0.348,27.9,92,27.1,6.0,15.0,4.8,53.6,4.5,,7.2,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,0.2,,28 - 28,27.3,0.6,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,52,59,128,138,171,129,,,,,,,,,,,,,,,,,,0,,,,,,4.5
1013860,1875,Deacon White,BSN,27,80,371,374,136,109,23,3,1,76,60,3,,2,,,,,2.0,3.0,0.367,,,,,,,,,,,0.008,0.005,1.5,0.372,0.453,0.824,0.086,0.367,,,,,,,,,0.375,33.6,92,32.9,4.0,13.7,1.3,52.0,4.3,,4.6,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,-0.4,,27 - 27,32.5,0.5,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,86,21,142,145,151,141,,,,,,,,,,,,,,,,,,0,,,,,,4.3
1010347,1875,Lip Pike,STL,30,70,312,315,108,74,22,12,0,61,44,3,,8,,,,,25.0,10.0,0.346,,,,,,,,,,,0.01,0.025,0.38,0.352,0.494,0.846,0.147,0.355,,,,,,,,,0.379,29.3,79,33.2,6.0,11.5,-2.6,48.8,4.1,,8.8,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.3,,30 - 30,33.5,0.4,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,102,102,135,158,258,136,,,,,,,,,,,,,,,,,,0,,,,,,4.1
1004213,1875,Davy Force,PHN,25,77,386,393,120,93,22,5,0,78,49,7,,5,,,,,6.0,3.0,0.311,,,,,,,,,,,0.018000000000000002,0.013000000000000001,1.4,0.323,0.394,0.717,0.083,0.315,,,,,,,,,0.327,20.4,82,16.1,7.0,14.4,4.7,43.0,3.6,,6.3,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,0.4,,25 - 25,16.4,0.5,,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,190,51,123,126,145,121,,,,,,,,,,,,,,,,,,0,,,,,,3.6
1012746,1875,Ezra Sutton,PHN,24,75,358,359,116,97,11,7,1,83,59,1,,3,,,,,13.0,10.0,0.324,,,,,,,,,,,0.003,0.008,0.33,0.326,0.402,0.728,0.078,0.325,,,,,,,,,0.331,19.7,76,15.8,7.0,13.1,2.1,36.5,3.1,,7.2,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,-2.0,,24 - 24,13.8,0.5,,,,,,,,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,30,34,124,129,137,125,,,,,,,,,,,,,,,,,,0,,,,,,3.1
1009839,1875,Jim O'Rourke,BSN,24,75,358,367,106,80,13,7,6,97,72,9,,6,,,,,17.0,5.0,0.296,,,,,,,,,,,0.025,0.016,1.5,0.313,0.422,0.735,0.126,0.289,,,,,,,,,0.331,20.3,78,19.6,1.0,13.4,-1.3,34.6,2.8,,8.1,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,1.4,,24 - 24,21.0,0.5,,,,,,,,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,262,66,120,135,220,111,,,,,,,,,,,,,,,,,,0,,,,,,2.8
1010232,1875,John Peters,CHI,25,69,297,297,85,67,16,2,0,40,34,0,,3,,,,,12.0,6.0,0.286,,,,,,,,,,,0.0,0.01,0.0,0.286,0.354,0.64,0.067,0.289,,,,,,,,,0.291,7.0,53,4.5,11.0,10.9,4.0,30.5,2.7,,6.3,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,-0.3,,25 - 25,4.2,0.4,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0,41,109,113,118,111,,,,,,,,,,,,,,,,,,0,,,,,,2.7
1005845,1875,Paul Hines,CHI,20,69,308,309,101,83,14,4,0,45,36,1,,0,,,,,6.0,9.0,0.328,,,,,,,,,,,0.003,0.0,1.0,0.33,0.399,0.729,0.071,0.328,,,,,,,,,0.332,17.3,66,14.7,8.0,11.3,-1.3,30.1,2.6,,5.2,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,-3.0,,20 - 20,11.7,0.4,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,35,0,126,128,125,126,,,,,,,,,,,,,,,,,,0,,,,,,2.6
