IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1006396,1895,Hughie Jennings,BAL,26,131,529,613,204,152,41,7,4,159,125,24,,17.0,32,,28.0,,53,,0.386,,,,,,,,,,,0.039,0.027999999999999997,1.41,0.444,0.512,0.957,0.127,0.394,,,,,,,,,0.449,49.1,151,45.3,18.0,24.0,8.1,102.5,8.2,,7.7,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,4.2,,26 - 26,49.5,3.0,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,47,55.0,121,126,119,126.0,,,,,,,,,,,,,,,,,,0,,,,,,8.2
1003155,1895,Ed Delahanty,PHI,27,116,480,578,194,124,49,10,11,149,106,86,,31.0,6,,6.0,,46,,0.404,,,,,,,,,,,0.149,0.054000000000000006,2.77,0.5,0.617,1.117,0.213,0.418,,,,,,,,,0.51,78.7,174,76.7,0.0,22.6,-5.5,99.2,7.5,,8.1,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5,2.5,,27 - 27,79.3,2.8,,,,,,,,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,180,107.0,136,151,200,133.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
1005270,1895,Billy Hamilton,PHI,29,123,517,629,201,166,22,6,7,166,74,96,,30.0,7,,9.0,,97,,0.389,,,,,,,,,,,0.153,0.048,3.2,0.49,0.495,0.985,0.106,0.404,,,,,,,,,0.471,63.3,167,61.1,-2.0,24.6,-6.1,91.7,6.9,,7.5,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.1,11.1,,29 - 29,72.2,3.0,,,,,,,,0.21100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,185,95.0,133,121,100,129.0,,,,,,,,,,,,,,,,,,0,,,,,,6.9
1006776,1895,Joe Kelley,BAL,23,131,518,617,189,134,26,19,10,148,134,77,,29.0,10,,12.0,,54,,0.365,,,,,,,,,,,0.125,0.047,2.66,0.456,0.546,1.003,0.181,0.374,,,,,,,,,0.463,57.5,160,53.7,7.0,24.1,-8.1,83.7,6.5,,8.3,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,4.0,,23 - 23,57.7,3.0,,,,,,,,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,151,93.0,124,134,171,119.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1013024,1895,Sam Thompson,PHI,35,119,538,576,211,127,45,21,18,131,165,31,,11.0,5,,2.0,,27,,0.392,,,,,,,,,,,0.054000000000000006,0.019,2.82,0.43,0.654,1.085,0.262,0.379,,,,,,,,,0.48,62.8,158,60.8,3.0,22.5,-7.3,82.2,6.3,,7.8,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,0.4,,35 - 35,61.2,2.8,,,,,,,,0.10400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,65,38.0,117,160,247,121.0,,,,,,,,,,,,,,,,,,0,,,,,,6.3
1006747,1895,Willie Keeler,BAL,23,131,565,637,213,170,24,15,4,162,78,37,,12.0,14,,21.0,,47,,0.377,,,,,,,,,,,0.057999999999999996,0.019,3.08,0.429,0.494,0.922,0.117,0.381,,,,,,,,,0.432,41.3,147,37.3,15.0,24.9,-8.1,74.7,6.0,,8.1,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,2.6,,23 - 23,39.9,3.1,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,70,37.0,116,121,110,121.0,,,,,,,,,,,,,,,,,,0,,,,,,6.0
1001682,1895,Jesse Burkett,CLE,26,131,550,639,225,185,22,13,5,153,83,74,,31.0,8,,7.0,,41,,0.409,,,,,,,,,,,0.11599999999999999,0.049,2.39,0.486,0.524,1.009,0.115,0.428,,,,,,,,,0.476,67.3,173,59.0,0.0,25.0,-8.1,78.9,5.9,,7.8,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.1,-0.1,,26 - 26,59.0,3.1,,,,,,,,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,140,96.0,132,128,108,137.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1005047,1895,Mike Griffin,BRO,30,131,519,631,173,124,38,7,4,140,65,93,,29.0,10,,9.0,,27,,0.333,,,,,,,,,,,0.147,0.046,3.21,0.444,0.457,0.9,0.123,0.348,,,,,,,,,0.431,40.5,145,42.8,12.0,24.7,-6.4,74.5,5.9,,6.8,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,-1.6,,30 - 30,41.2,3.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,179,91.0,121,112,116,111.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1007315,1895,Bill Lange,CHI,24,123,478,546,186,133,27,16,10,120,98,55,,24.0,4,,9.0,,67,,0.389,,,,,,,,,,,0.10099999999999999,0.044000000000000004,2.29,0.456,0.575,1.032,0.186,0.396,,,,,,,,,0.472,55.3,146,48.8,2.0,21.3,-6.1,76.2,5.8,,8.3,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1,7.5,,24 - 24,56.3,2.6,,,,,,,,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,122,87.0,124,141,175,126.0,,,,,,,,,,,,,,,,,,0,,,,,,5.8
1008542,1895,John McGraw,BAL,22,96,388,459,143,122,13,6,2,110,48,60,,9.0,5,,6.0,,61,,0.369,,,,,,,,,,,0.131,0.02,6.67,0.459,0.448,0.908,0.08,0.374,,,,,,,,,0.439,32.5,108,29.7,13.0,17.9,3.0,72.2,5.8,,8.0,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,6.4,,22 - 22,36.1,2.2,,,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,159,39.0,125,110,75,119.0,,,,,,,,,,,,,,,,,,0,,,,,,5.8
